,date,platform,country,country_x_language,media,campaign_id,campaign_name,ad_id,ad_name,short_ad_name,ad_type,ad_creative_type,spend,impressions,clicks,installs,sales,purchases (D0),purchases (D7),purchases_value (D0),purchases_value (D7)
3027,2022-06-03,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000306,DE_202104_S_S_PHOTO-SCAN_VALUE-PROP_HOOK2,PHOTO-SCAN_VALUE-PROP_HOOK2_DE,REWARD,VIDEO_PLAY,0.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
6545,2022-06-03,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002071,DE_202103_S_L_WATER-TRACK_SOCIAL-PROOF_CONCAT,WATER-TRACK_SOCIAL-PROOF_CONCAT_DE,GRAPHIC,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6551,2022-06-03,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002070,DE_202106_S_L_PHOTO-SCAN_VALUE-PROP_SUBTITLED,PHOTO-SCAN_VALUE-PROP_SUBTITLED_DE,GRAPHIC,VIDEO_PLAY,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8423,2022-06-03,Android,AU,AU-de,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000307,DE_202104_S_S_PHOTO-SCAN_VALUE-PROP_HOOK2,PHOTO-SCAN_VALUE-PROP_HOOK2_DE,GRAPHIC,VIDEO_PLAY,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10264,2022-06-03,Android,AU,AU-de,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000304,DE_202112_C_XL_RECIPE-DEMO_CONVENIENCE_DARK,RECIPE-DEMO_CONVENIENCE_DARK_DE,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10909,2022-06-03,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000190,DE_202108_C_S_MEAL-TRACKER_FEATURE-FOCUS_SUBTITLED,MEAL-TRACKER_FEATURE-FOCUS_SUBTITLED_DE,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15614,2022-06-03,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000302,DE_202112_C_XL_RECIPE-DEMO_CONVENIENCE_DARK,RECIPE-DEMO_CONVENIENCE_DARK_DE,REWARD,VIDEO_PLAY,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000329,EN_202104_C_M_UGC-OUTDOOR_CONVENIENCE_HOOK2,UGC-OUTDOOR_CONVENIENCE_HOOK2_EN,REWARD,VIDEO_PLAY,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
462,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002489,EN_202104_V_L_MEAL-TRACKER_RESULTS_SUBTITLED,MEAL-TRACKER_RESULTS_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
610,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002083,EN_202101_C_L_UGC-OUTDOOR_SOCIAL-PROOF_DARK,UGC-OUTDOOR_SOCIAL-PROOF_DARK_EN,GRAPHIC,VIDEO_PLAY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
675,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001468,EN_202107_V_S_TESTIMONIAL_VALUE-PROP_SUBTITLED,TESTIMONIAL_VALUE-PROP_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,0.6111564552200001,294.0,229.0,1.0,0.0,0.0,0.0,0.0,0.0
743,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002477,EN_202104_V_L_MEAL-TRACKER_RESULTS_SUBTITLED,MEAL-TRACKER_RESULTS_SUBTITLED_EN,GRAPHIC,VIDEO_PLAY,21.715992871944998,527.0,362.0,2.0,1.0,1.0,1.0,22.404768400000002,22.404768400000002
842,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000150,EN_202108_C_S_WATER-TRACK_FEATURE-FOCUS_DARK,WATER-TRACK_FEATURE-FOCUS_DARK_EN,REWARD,VIDEO_PLAY,7.2288789456249996,365.0,221.0,3.0,0.0,0.0,0.0,0.0,0.0
879,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001154,EN_202105_C_S_UGC-OUTDOOR_VALUE-PROP_LIGHT,UGC-OUTDOOR_VALUE-PROP_LIGHT_EN,GRAPHIC,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1573,2022-06-03,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000953,EN_202106_V_L_TESTIMONIAL_MOTIVATION_LOOPED,TESTIMONIAL_MOTIVATION_LOOPED_EN,GRAPHIC,VIDEO_PLAY,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
